Original;Traduzida
The code is compiling;O código está compilando.
Our hardware is too slow to cope with demand;Nossos computadores estão mais lentos do que carroça de tartaruga para dar conta da demanda.
It must be because of a leap second;Deve ser por causa de um segundo bissexto
That isn't covered by my job description;Isso não está coberto pela minha descrição de trabalho. Traduzindo: Eu não fui contratado para lidar com esse pepino.
Maybe somebody forgot to pay our hosting company;Talvez alguém tenha esquecido de pagar a nossa empresa de hospedagem. Será que eles desconectaram o servidor por falta de pagamento? Deixe eu me certificar disso... ou será que eu que esqueci de pagar a conta? Ops!
The third party documentation doesn't exist;"A documentação de terceiros simplesmente desapareceu no éter cibernético. Eu juro que ela existia, mas agora não consigo encontrá-la em lugar nenhum. Desculpe a confusão!"
I'm surprised it works as well as it does;Estou surpreso que funcione tão bem quanto funciona
My time was split in a way that meant I couldn't do either project properly;Meu tempo foi dividido de uma maneira que significava que eu não pude fazer nenhum dos projetos adequadamente.
We didn't have enough time to peer review the final changes;Não tivemos tempo suficiente para revisar em conjunto as alterações finais.
The request must have dropped some packets;A requisição deve ter deixado cair alguns pacotes.
The user must not know how to use it;O usuário deve ser um pouco inexperiente
It's never done that before;Nunca fez isso antes.
That process requires human oversight that nobody was providing;"Esse processo requer supervisão humana, que ninguém estava fornecendo. Pedimos desculpas pela falha!"
"Don't worry, that value is only wrong half of the time";"Não se preocupe, aquele valor está errado apenas metade do tempo."
It's a third party application issue;É um problema de aplicativo de terceiros. Desculpe aí!
Well at least we know not to try that again;Pelo menos agora sabemos que não devemos tentar isso de novo. Ooops!
Where were you when the program blew up?;Onde você estava quando o programa explodiu?
It probably won't happen again;Provavelmente não vai acontecer de novo.
The program has never collected that information;O programa nunca coletou essa informação. Desculpe pela negligência da nossa parte!
I can have a look but there's a lot of if statements in that code!;"Posso dar uma olhada, mas tem muitos if's perdidos nesse código!"
The problem seems to be with our legacy software;O problema parece ser com nosso software legado
It must be a firewall issue;Deve ser um problema de firewall
That worked perfectly when I developed it;Isso funcionou perfeitamente quando eu desenvolvi. O problema deve ter sido causado por alguma interferência alienígena.
I had to do the project backwards as people demanded results out of order;Tive que fazer o projeto ao contrário porque as pessoas exigiam resultados fora de ordem.
